timestamp,setting,bitrate_kbps,jitter_ms,packets_lost,packets_received,packet_loss_pct
2026-08-16T04:45:32.301619,local_test,258.4,0.28,0,20869,0.0
2026-08-16T04:45:34.303499,local_test,259.8,0.29,0,21179,0.0
2026-08-16T04:45:36.303598,local_test,268.0,0.13,0,21489,0.0
2026-08-16T04:45:38.305666,local_test,268.3,0.09,0,21799,0.0
2026-08-16T04:45:40.307431,local_test,257.1,0.18,0,22108,0.0
2026-08-16T04:45:42.309372,local_test,266.7,0.14,0,22418,0.0
2026-08-16T04:45:44.309718,local_test,279.8,0.32,0,22729,0.0
2026-08-16T04:45:46.311458,local_test,266.3,0.31,0,23043,0.0
2026-08-16T04:45:48.313311,local_test,260.6,0.28,0,23353,0.0
2026-08-16T04:45:50.313651,local_test,269.2,0.29,0,23663,0.0
2026-08-16T04:45:52.314666,local_test,262.6,0.38,0,23973,0.0
2026-08-16T04:45:57.901577,local_test,92.7,0.12,0,24282,0.0
2026-08-16T04:45:59.903204,local_test,270.5,0.32,0,24592,0.0
2026-08-16T04:46:01.904880,local_test,268.2,0.11,0,24902,0.0
2026-08-16T04:46:03.906266,local_test,257.0,0.37,0,25212,0.0
2026-08-16T04:46:05.906711,local_test,267.9,0.39,0,25522,0.0
2026-08-16T04:46:07.907578,local_test,268.7,0.32,0,25831,0.0
2026-08-16T04:46:09.908813,local_test,258.5,0.08,0,26141,0.0
2026-08-16T04:46:11.910574,local_test,259.5,0.1,0,26451,0.0
2026-08-16T04:46:13.912517,local_test,272.3,0.31,0,26761,0.0
2026-08-16T04:46:15.914187,local_test,260.6,0.22,0,27070,0.0
2026-08-16T04:51:41.797319,local_test,0.0,0.0,0,0,,,,
2026-08-16T04:51:43.796975,local_test,0.0,0.0,0,0,,0.021,0.027,0.031
2026-08-16T04:51:45.798033,local_test,0.0,0.0,0,0,,0.021,0.027,0.031
2026-08-16T04:51:47.799241,local_test,0.0,0.0,0,0,,0.021,0.027,0.031
2026-08-16T04:51:49.800890,local_test,0.0,0.0,0,0,,0.035,0.037,0.04
2026-08-16T04:51:51.802916,local_test,0.0,0.0,0,0,,0.035,0.037,0.04
2026-08-16T04:51:57.386280,local_test,0.0,0.0,0,0,,0.035,0.037,0.04
2026-08-16T04:51:59.386518,local_test,0.0,0.0,0,0,,0.035,0.037,0.04
2026-08-16T04:52:01.387957,local_test,0.0,0.0,0,0,,0.03,0.052,0.073
2026-08-16T04:52:03.389021,local_test,0.0,0.0,0,0,,0.03,0.052,0.073
2026-08-16T04:52:05.390084,local_test,0.0,0.0,0,0,,0.03,0.052,0.073
2026-08-16T04:52:07.391102,local_test,0.0,0.0,0,0,,0.027,0.031,0.036
2026-08-16T04:52:09.391598,local_test,0.0,0.0,0,0,,0.027,0.031,0.036
2026-08-16T04:52:11.393553,local_test,0.0,0.0,0,0,,0.027,0.031,0.036
2026-08-16T04:53:17.192300,local_test,0.0,0.0,0,0,,,,
2026-08-16T04:53:19.194066,local_test,0.0,0.0,0,0,,0.03,0.031,0.034
2026-08-16T04:53:21.195633,local_test,0.0,0.0,0,0,,0.03,0.031,0.034
2026-08-16T04:53:23.195819,local_test,0.0,0.0,0,0,,0.03,0.031,0.034
2026-08-16T04:53:25.197275,local_test,0.0,0.0,0,0,,0.038,0.04,0.043
2026-08-16T04:53:27.198077,local_test,0.0,0.0,0,0,,0.038,0.04,0.043
2026-08-16T04:53:29.198310,local_test,0.0,0.0,0,0,,0.038,0.04,0.043
2026-08-16T04:53:31.200086,local_test,0.0,0.0,0,0,,0.038,0.04,0.043
2026-08-16T04:53:33.201626,local_test,0.0,0.0,0,0,,0.03,0.043,0.062
2026-08-16T04:53:35.203125,local_test,0.0,0.0,0,0,,0.03,0.043,0.062
2026-08-16T04:53:37.204978,local_test,0.0,0.0,0,0,,0.03,0.043,0.062
2026-08-16T04:53:39.205135,local_test,98.7,0.12,0,140,0.0,0.027,0.042,0.054
2026-08-16T04:53:44.787795,local_test,90.2,0.13,0,450,0.0,0.027,0.042,0.054
2026-08-16T04:53:46.788458,local_test,272.6,0.13,0,760,0.0,0.027,0.042,0.054
2026-08-16T04:53:48.788896,local_test,270.2,0.08,0,1070,0.0,0.027,0.042,0.054
2026-08-16T04:53:50.789694,local_test,264.3,0.09,0,1385,0.0,0.024,0.028,0.031
2026-08-16T04:53:52.791653,local_test,261.6,0.12,0,1694,0.0,0.024,0.028,0.031
2026-08-16T04:53:54.793419,local_test,274.8,0.28,0,2004,0.0,0.024,0.028,0.031
2026-08-16T04:53:56.795171,local_test,267.0,0.29,0,2314,0.0,0.029,0.042,0.062
2026-08-16T04:53:58.796723,local_test,260.3,0.22,0,2624,0.0,0.029,0.042,0.062
2026-08-16T04:54:00.798247,local_test,273.9,0.09,0,2934,0.0,0.029,0.042,0.062
2026-08-16T04:54:02.798973,local_test,263.1,0.26,0,3244,0.0,0.029,0.042,0.062
2026-08-16T04:54:04.799883,local_test,255.6,0.23,0,3554,0.0,0.029,0.031,0.036
2026-08-16T04:54:06.800584,local_test,261.7,0.1,0,3863,0.0,0.029,0.031,0.036
2026-08-16T04:54:08.801842,local_test,267.3,0.11,0,4173,0.0,0.029,0.031,0.036
2026-08-16T04:54:10.803906,local_test,260.9,0.09,0,4483,0.0,0.027,0.029,0.032
2026-08-16T04:54:12.805712,local_test,260.8,0.12,0,4793,0.0,0.027,0.029,0.032
2026-08-16T04:54:14.806643,local_test,276.8,0.13,0,5104,0.0,0.027,0.029,0.032
2026-08-16T04:54:20.388224,local_test,93.1,0.12,0,5413,0.0,0.027,0.029,0.032
2026-08-16T04:54:22.389275,local_test,266.0,0.09,0,5723,0.0,0.028,0.034,0.045
2026-08-16T04:54:24.391035,local_test,269.6,0.21,0,6033,0.0,0.028,0.034,0.045
2026-08-16T04:54:26.391838,local_test,262.8,0.16,0,6343,0.0,0.028,0.034,0.045
2026-08-16T04:54:28.392263,local_test,258.2,0.12,0,6653,0.0,0.023,0.026,0.03
2026-08-16T04:54:30.394170,local_test,268.9,0.11,0,6963,0.0,0.023,0.026,0.03
2026-08-16T04:54:32.395172,local_test,272.3,0.12,0,7273,0.0,0.023,0.026,0.03
2026-08-16T04:54:34.396989,local_test,257.0,0.15,0,7583,0.0,0.023,0.026,0.03
2026-08-16T04:54:36.398042,local_test,264.1,0.14,0,7893,0.0,0.026,0.029,0.033
2026-08-16T04:54:38.400000,local_test,275.0,0.29,0,8203,0.0,0.026,0.029,0.033
2026-08-16T04:54:40.401919,local_test,257.6,0.11,0,8513,0.0,0.026,0.029,0.033
2026-08-16T04:54:42.405164,local_test,262.3,0.41,0,8828,0.0,0.031,0.037,0.046
2026-08-16T04:54:44.406936,local_test,267.1,0.08,0,9137,0.0,0.031,0.037,0.046
2026-08-16T04:54:46.408012,local_test,266.5,0.32,0,9447,0.0,0.031,0.037,0.046
2026-08-16T04:54:48.409952,local_test,257.1,0.11,0,9757,0.0,0.031,0.037,0.046
2026-08-16T04:54:50.411573,local_test,274.2,0.07,0,10068,0.0,0.026,0.03,0.033
2026-08-16T04:54:55.996452,local_test,97.1,0.09,0,10378,0.0,0.026,0.03,0.033
2026-08-16T04:54:57.998363,local_test,255.2,0.27,0,10688,0.0,0.026,0.03,0.033
2026-08-16T04:55:00.000390,local_test,263.4,0.2,0,10998,0.0,0.023,0.039,0.062
2026-08-16T04:55:02.002270,local_test,260.0,0.12,0,11308,0.0,0.023,0.039,0.062
2026-08-16T04:55:04.003303,local_test,259.5,0.28,0,11618,0.0,0.023,0.039,0.062
2026-08-16T04:55:06.004582,local_test,257.5,0.26,0,11927,0.0,0.023,0.039,0.062
